ensg	name
ENSMUSG00000029580	Actb
ENSMUSG00000026496	Parp1
ENSMUSG00000052915	Msl1
ENSMUSG00000056367	Actr3b
ENSMUSG00000032591	Mst1
ENSMUSG00000017774	Myo1c
ENSMUSG00000054836	Elp6
ENSMUSG00000017499	Cdc6
ENSMUSG00000005609	Ctr9
ENSMUSG00000002307	Daxx
ENSMUSG00000037373	Ctbp1
ENSMUSG00000027582	Zgpat
ENSMUSG00000037992	Rara
ENSMUSG00000020914	Top2a
ENSMUSG00000037935	Smarce1
ENSMUSG00000092300	Cdk3-ps
ENSMUSG00000018654	Ikzf1
ENSMUSG00000062906	Hdac10
ENSMUSG00000018412	Kansl1
ENSMUSG00000030180	Kdm5a
ENSMUSG00000020849	Ywhae
ENSMUSG00000039086	Ss18l1
ENSMUSG00000006527	Sfmbt1
ENSMUSG00000020694	Tlk2
ENSMUSG00000026182	Tnp1
ENSMUSG00000072872	Rybp
ENSMUSG00000028969	Cdk5
ENSMUSG00000057421	Las1l
ENSMUSG00000029563	Foxp2
ENSMUSG00000056962	Jmjd6
ENSMUSG00000038116	Phf20
ENSMUSG00000078619	Smarcd2
ENSMUSG00000029147	Ppm1g
ENSMUSG00000071054	Safb
ENSMUSG00000022105	Rb1
ENSMUSG00000027185	Nat10
ENSMUSG00000018501	Ncor1
ENSMUSG00000040481	Bptf
ENSMUSG00000018651	Tada2a
ENSMUSG00000052144	Ppp4r2
ENSMUSG00000029249	Rest
ENSMUSG00000057637	Prdm2
ENSMUSG00000050965	Prkca
ENSMUSG00000060261	Gtf2i
ENSMUSG00000033909	Usp36
ENSMUSG00000035456	Prdm8
ENSMUSG00000025577	Cbx2
ENSMUSG00000025578	Cbx8
ENSMUSG00000039989	Cbx4
ENSMUSG00000001280	Sp1
ENSMUSG00000037761	Actr5
ENSMUSG00000002052	Supt6
ENSMUSG00000002109	Ddb2
ENSMUSG00000027167	Elp4
ENSMUSG00000029478	Ncor2
ENSMUSG00000058318	Phf21a
ENSMUSG00000017548	Suz12
ENSMUSG00000024952	Rps6ka4
