ensg	enst	name
ENSMUSG00000056380		Gpr50
ENSMUSG00000045441		Gprin3
ENSMUSG00000045281		Gpr20
ENSMUSG00000046922		Gpr6
ENSMUSG00000032641		Gpr19
ENSMUSG00000046733		Gprc5a
ENSMUSG00000053164		Gpr21
ENSMUSG00000050425		Mrgprb2
ENSMUSG00000040125		Gpr26
ENSMUSG00000046961		Gpr156
ENSMUSG00000048216		Gpr85
ENSMUSG00000036357		Gpr101
ENSMUSG00000051212		Gpr183
ENSMUSG00000034677		Gpr142
ENSMUSG00000070547		Mrgprb1
ENSMUSG00000047293		Gpr15
ENSMUSG00000070552		Mrgprx1
ENSMUSG00000063234		Gpr84
ENSMUSG00000068696		Gpr88
ENSMUSG00000047875		Gpr157
ENSMUSG00000066197		Gpr139
ENSMUSG00000021886		Gpr65
ENSMUSG00000052759		Gpr25
ENSMUSG00000058396		Gpr182
ENSMUSG00000049608		Gpr55
ENSMUSG00000071311		Gpr31b
ENSMUSG00000050075		Gpr171
ENSMUSG00000071531		Gprin2
ENSMUSG00000068037		Mas1
ENSMUSG00000044724		Gpr152
ENSMUSG00000070337		Gpr179
ENSMUSG00000069227		Gprin1
ENSMUSG00000074111		Mrgpra9
ENSMUSG00000050650		Mrgpra1
ENSMUSG00000073008		Gpr174
ENSMUSG00000074109		Mrgprx2
ENSMUSG00000072875		Gpr27
ENSMUSG00000043999		Gpr75
ENSMUSG00000040836		Gpr161
ENSMUSG00000041907		Gpr45
ENSMUSG00000049092		Gpr137c
ENSMUSG00000047462		Gpr141b
ENSMUSG00000091735		Gpr62
ENSMUSG00000024366		Gfra3
ENSMUSG00000025089		Gfra1
ENSMUSG00000022103		Gfra2
ENSMUSG00000027316		Gfra4
ENSMUSG00000059383		Gfral
ENSMUSG00000000290		Itgb2
ENSMUSG00000001507		Itga3
ENSMUSG00000001281		Itgb7
ENSMUSG00000005947		Itgae
ENSMUSG00000020758		Itgb4
ENSMUSG00000020689		Itgb3
ENSMUSG00000000555		Itga5
ENSMUSG00000026768		Itga8
ENSMUSG00000025321		Itgb8
ENSMUSG00000027111		Itga6
ENSMUSG00000037295		Ldlrap1
ENSMUSG00000039115		Itga9
ENSMUSG00000030789		Itgax
ENSMUSG00000032243		Itga11
ENSMUSG00000027087		Itgav
ENSMUSG00000026971		Itgb6
ENSMUSG00000070369		Itgad
ENSMUSG00000090210		Itga10
ENSMUSG00000032193		Ldlr
ENSMUSG00000048058		Ldlrad3
ENSMUSG00000042284		Itga1
ENSMUSG00000015533		Itga2
ENSMUSG00000030786		Itgam
ENSMUSG00000024544		Ldlrad4
ENSMUSG00000022817		Itgb5
ENSMUSG00000070877		Ldlrad1
ENSMUSG00000025809		Itgb1
ENSMUSG00000034664		Itga2b
ENSMUSG00000027009		Itga4
ENSMUSG00000025348		Itga7
ENSMUSG00000030830		Itgal
ENSMUSG00000094035		Ldlrad2
ENSMUSG00000000303	ENSMUST00000000312	Cdh1
ENSMUSG00000000318	ENSMUST00000000327	Clec10a
ENSMUSG00000001029	ENSMUST00000001055	Icam2
ENSMUSG00000000682	ENSMUST00000000696	Cd52
ENSMUSG00000001014	ENSMUST00000001040	Icam4
ENSMUSG00000002033	ENSMUST00000002101	Cd3g
ENSMUSG00000046223	ENSMUST00000002284	Plaur
ENSMUSG00000002308	ENSMUST00000002379	Cd320
ENSMUSG00000020681	ENSMUST00000001964	Ace
ENSMUSG00000003379	ENSMUST00000003469	Cd79a
ENSMUSG00000026814	ENSMUST00000009705	Eng
ENSMUSG00000006574	ENSMUST00000006749	Slc4a1
ENSMUSG00000062524	ENSMUST00000006792	Ncr1
ENSMUSG00000006345	ENSMUST00000006508	Ggt1
ENSMUSG00000010095	ENSMUST00000010239	Slc3a2
ENSMUSG00000005824	ENSMUST00000005976	Tnfsf14
ENSMUSG00000004707	ENSMUST00000004827	Ly9
ENSMUSG00000005087	ENSMUST00000005218	Cd44
ENSMUSG00000005763	ENSMUST00000005907	Cd247
ENSMUSG00000004609	ENSMUST00000004728	Cd33
ENSMUSG00000020330	ENSMUST00000020579	Hmmr
ENSMUSG00000089669	ENSMUST00000018896	Tnfsf13
ENSMUSG00000015396	ENSMUST00000015540	Cd83
ENSMUSG00000016496	ENSMUST00000016640	Cd274
ENSMUSG00000019818	ENSMUST00000019962	Cd164
ENSMUSG00000020695	ENSMUST00000021038	Mrc2
ENSMUSG00000018774	ENSMUST00000018918	Cd68
ENSMUSG00000030577	ENSMUST00000019248	Cd22
ENSMUSG00000015316	ENSMUST00000015460	Slamf1
ENSMUSG00000020592	ENSMUST00000020911	Sdc1
ENSMUSG00000016494	ENSMUST00000016638	Cd34
ENSMUSG00000019989	ENSMUST00000020169	Enpp3
ENSMUSG00000015355	ENSMUST00000015499	Cd48
ENSMUSG00000016534	ENSMUST00000016678	Lamp2
ENSMUSG00000023830	ENSMUST00000024599	Igf2r
ENSMUSG00000026581	ENSMUST00000027871	Sell
ENSMUSG00000026712	ENSMUST00000028045	Mrc1
ENSMUSG00000026012	ENSMUST00000027165	Cd28
ENSMUSG00000026700	ENSMUST00000028024	Tnfsf4
ENSMUSG00000026656	ENSMUST00000027966	Fcgr2b
ENSMUSG00000023926	ENSMUST00000024721	Rhag
ENSMUSG00000026011	ENSMUST00000027164	Ctla4
ENSMUSG00000026582	ENSMUST00000027874	Sele
ENSMUSG00000024304	ENSMUST00000025166	Cdh2
ENSMUSG00000025491	ENSMUST00000026564	Ifitm1
ENSMUSG00000022015	ENSMUST00000022592	Tnfsf11
ENSMUSG00000023274	ENSMUST00000024044	Cd4
ENSMUSG00000026285	ENSMUST00000027507	Pdcd1
ENSMUSG00000022636	ENSMUST00000023312	Alcam
ENSMUSG00000021624	ENSMUST00000022124	Cd180
ENSMUSG00000021451	ENSMUST00000021900	Sema4d
ENSMUSG00000024670	ENSMUST00000025572	Cd6
ENSMUSG00000025810	ENSMUST00000026917	Nrp1
ENSMUSG00000022661	ENSMUST00000023341	Cd200
ENSMUSG00000022797	ENSMUST00000023486	Tfrc
ENSMUSG00000025473	ENSMUST00000026546	Adam8
ENSMUSG00000024669	ENSMUST00000025571	Cd5
ENSMUSG00000025163	ENSMUST00000026159	Cd7
ENSMUSG00000026009	ENSMUST00000027162	Icos
ENSMUSG00000025044	ENSMUST00000026021	Msr1
ENSMUSG00000025351	ENSMUST00000026407	Cd63
ENSMUSG00000022657	ENSMUST00000023336	Cd96
ENSMUSG00000038034	ENSMUST00000039506	Igsf8
ENSMUSG00000028128	ENSMUST00000029771	F3
ENSMUSG00000028362	ENSMUST00000030047	Tnfsf8
ENSMUSG00000030167	ENSMUST00000032270	Klrc1
ENSMUSG00000030798	ENSMUST00000033063	Cd37
ENSMUSG00000030724	ENSMUST00000032968	Cd19
ENSMUSG00000030165	ENSMUST00000032268	Klrd1
ENSMUSG00000030156	ENSMUST00000032259	Cd69
ENSMUSG00000026616	ENSMUST00000043104	Cr2
ENSMUSG00000027215	ENSMUST00000028644	Cd82
ENSMUSG00000042784	ENSMUST00000041142	Muc1
ENSMUSG00000028024	ENSMUST00000029658	Enpep
ENSMUSG00000030217	ENSMUST00000032341	Art4
ENSMUSG00000027995	ENSMUST00000029623	Tlr2
ENSMUSG00000040592	ENSMUST00000044228	Cd79b
ENSMUSG00000031132	ENSMUST00000033466	Cd40lg
ENSMUSG00000032420	ENSMUST00000034992	Nt5e
ENSMUSG00000030124	ENSMUST00000032217	Lag3
ENSMUSG00000030342	ENSMUST00000032492	Cd9
ENSMUSG00000031447	ENSMUST00000033824	Lamp1
ENSMUSG00000034028	ENSMUST00000037142	Cd226
ENSMUSG00000028825	ENSMUST00000030627	Rhd
ENSMUSG00000027863	ENSMUST00000029456	Cd2
ENSMUSG00000032135	ENSMUST00000034650	Mcam
ENSMUSG00000030996	ENSMUST00000033300	Art1
ENSMUSG00000038264	ENSMUST00000043059	Sema7a
ENSMUSG00000029866	ENSMUST00000031899	Kel
ENSMUSG00000027611	ENSMUST00000029140	Procr
ENSMUSG00000029086	ENSMUST00000030973	Prom1
ENSMUSG00000028459	ENSMUST00000030179	Cd72
ENSMUSG00000032094	ENSMUST00000034602	Cd3d
ENSMUSG00000031497	ENSMUST00000033892	Tnfsf13b
ENSMUSG00000008845	ENSMUST00000032234	Cd163
ENSMUSG00000060703	ENSMUST00000028356	Cd302
ENSMUSG00000040747	ENSMUST00000038845	Cd53
ENSMUSG00000027820	ENSMUST00000029400	Mme
ENSMUSG00000030149	ENSMUST00000032252	Klrk1
ENSMUSG00000026980	ENSMUST00000028362	Ly75
ENSMUSG00000027276	ENSMUST00000028735	Jag1
ENSMUSG00000031871	ENSMUST00000034339	Cdh5
ENSMUSG00000038147	ENSMUST00000042302	Cd84
ENSMUSG00000030054	ENSMUST00000032133	Gp9
ENSMUSG00000032412	ENSMUST00000034983	Atp1b3
ENSMUSG00000031639	ENSMUST00000034056	Tlr3
ENSMUSG00000029802	ENSMUST00000031822	Abcg2
ENSMUSG00000034783	ENSMUST00000037882	Cd207
ENSMUSG00000038235	ENSMUST00000043839	F11r
ENSMUSG00000040511	ENSMUST00000043517	Pvr
ENSMUSG00000029084	ENSMUST00000030964	Cd38
ENSMUSG00000035498	ENSMUST00000039229	Cdcp1
ENSMUSG00000035914	ENSMUST00000039788	Cd276
ENSMUSG00000027962	ENSMUST00000029574	Vcam1
ENSMUSG00000037706	ENSMUST00000037941	Cd81
ENSMUSG00000046718	ENSMUST00000051672	Bst2
ENSMUSG00000051439	ENSMUST00000061829	Cd14
ENSMUSG00000039005	ENSMUST00000048096	Tlr4
ENSMUSG00000052212	ENSMUST00000063956	Cd177
ENSMUSG00000056481	ENSMUST00000070630	Cd248
ENSMUSG00000050761	ENSMUST00000051160	Gp1bb
ENSMUSG00000034652	ENSMUST00000045151	Cd300a
ENSMUSG00000053044	ENSMUST00000065248	Cd8b1
ENSMUSG00000031391	ENSMUST00000066576	L1cam
ENSMUSG00000051498	ENSMUST00000062315	Tlr6
ENSMUSG00000039304	ENSMUST00000046383	Tnfsf10
ENSMUSG00000035000	ENSMUST00000047812	Dpp4
ENSMUSG00000050675	ENSMUST00000055184	Gp1ba
ENSMUSG00000049307	ENSMUST00000061498	Fut4
ENSMUSG00000054693	ENSMUST00000067880	Adam10
ENSMUSG00000039062	ENSMUST00000049004	Anpep
ENSMUSG00000044827	ENSMUST00000059349	Tlr1
ENSMUSG00000025510	ENSMUST00000058746	Cd151
ENSMUSG00000051839	ENSMUST00000063359	Gypa
ENSMUSG00000024610	ENSMUST00000050487	Cd74
ENSMUSG00000052736	ENSMUST00000071920	Klrc2
ENSMUSG00000052013	ENSMUST00000063654	Btla
ENSMUSG00000023175	ENSMUST00000067036	Bsg
ENSMUSG00000055541	ENSMUST00000068865	Lair1
ENSMUSG00000048031	ENSMUST00000049926	Fcrl5
ENSMUSG00000053977	ENSMUST00000066747	Cd8a
ENSMUSG00000020717	ENSMUST00000068021	Pecam1
