ensg	ensp	name
ENSMUSG00000026932	ENSMUSP00000028300 	Nacc2
ENSMUSG00000026942	ENSMUSP00000028311 	Traf2
ENSMUSG00000026965	ENSMUSP00000028341 	Anapc2
ENSMUSG00000026988	ENSMUSP00000028368 	Wdsub1
ENSMUSG00000027011	ENSMUSP00000028398 	Ube2e3
ENSMUSG00000027078	ENSMUSP00000028473 	Ube2l6
ENSMUSG00000027180	ENSMUSP00000028603 	Fbxo3
ENSMUSG00000027272	ENSMUSP00000028728 	Ubr1
ENSMUSG00000027363	ENSMUSP00000028841 	Usp8
ENSMUSG00000027364	ENSMUSP00000028842 	Usp50
ENSMUSG00000027439	ENSMUSP00000028928 	Gzf1
ENSMUSG00000027466	ENSMUSP00000028964 	Rbck1
ENSMUSG00000027583	ENSMUSP00000029106 	Zbtb46
ENSMUSG00000027598	ENSMUSP00000029126 	Itch
ENSMUSG00000060913	ENSMUSP00000029139 	Trim55
ENSMUSG00000033014	ENSMUSP00000029444 	Trim33
ENSMUSG00000028042	ENSMUSP00000029677 	Zbtb7b
ENSMUSG00000028086	ENSMUSP00000029727 	Fbxw7
ENSMUSG00000028098	ENSMUSP00000029740 	Rnf115
ENSMUSG00000028101	ENSMUSP00000029743 	Pias3
ENSMUSG00000028309	ENSMUSP00000029989 	Rnf20
ENSMUSG00000028423	ENSMUSP00000030133 	Nfx1
ENSMUSG00000028557	ENSMUSP00000030284 	Rnf11
ENSMUSG00000028560	ENSMUSP00000030289 	Usp1
ENSMUSG00000028677	ENSMUSP00000030439 	Rnf220
ENSMUSG00000028696	ENSMUSP00000030461 	Ipp
ENSMUSG00000028793	ENSMUSP00000030584 	Rnf19b
ENSMUSG00000028807	ENSMUSP00000030610 	Zbtb8a
ENSMUSG00000028834	ENSMUSP00000030638 	Trim63
ENSMUSG00000028920	ENSMUSP00000030757 	Fbxo42
ENSMUSG00000028986	ENSMUSP00000030841 	Klhl7
ENSMUSG00000055401	ENSMUSP00000030858 	Fbxo6
ENSMUSG00000029110	ENSMUSP00000030992 	Rnf4
ENSMUSG00000054920	ENSMUSP00000031085 	Klhl5
ENSMUSG00000054920	ENSMUSP00000031089 	Klhl5
ENSMUSG00000029203	ENSMUSP00000031105 	Ube2k
ENSMUSG00000029223	ENSMUSP00000031131 	Uchl1
ENSMUSG00000029312	ENSMUSP00000031254 	Klhl8
ENSMUSG00000029364	ENSMUSP00000031309 	Wsb2
ENSMUSG00000029397	ENSMUSP00000031345 	Rchy1
ENSMUSG00000029458	ENSMUSP00000031414 	Brap
ENSMUSG00000029474	ENSMUSP00000031434 	Rnf34
ENSMUSG00000029475	ENSMUSP00000031435 	Kdm2b
ENSMUSG00000029592	ENSMUSP00000031588 	Usp30
ENSMUSG00000029603	ENSMUSP00000031607 	Dtx1
ENSMUSG00000029685	ENSMUSP00000031696 	Asb15
ENSMUSG00000029686	ENSMUSP00000031697 	Cul1
ENSMUSG00000089984	ENSMUSP00000031732 	Fbxo24
ENSMUSG00000029798	ENSMUSP00000031817 	Herc6
ENSMUSG00000029804	ENSMUSP00000031823 	Herc3
ENSMUSG00000029833	ENSMUSP00000031859 	Trim24
ENSMUSG00000029922	ENSMUSP00000031985 	Mkrn1
ENSMUSG00000030019	ENSMUSP00000032094 	Fbxl14
ENSMUSG00000030031	ENSMUSP00000032107 	Kbtbd8
ENSMUSG00000030061	ENSMUSP00000032142 	Uba3
ENSMUSG00000030083	ENSMUSP00000032169 	Abtb1
ENSMUSG00000030107	ENSMUSP00000032198 	Usp18
ENSMUSG00000030499	ENSMUSP00000032709 	Kctd15
