name	ensp	Cytoplasm	Golgi apparatus	Plasma membrane	Lysosome	Endosome	Nucleus	Cytoskeleton	Mitochondrion
ZPBP	ENSP00000046087	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
LCP2	ENSP00000046794	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DCN	ENSP00000052754	4.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0
TNFRSF17	ENSP00000053243	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
MRPS10	ENSP00000053468	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
GUCA1A	ENSP00000053469	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
GRN	ENSP00000053867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VAMP3	ENSP00000054666	5.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0
UTS2	ENSP00000054668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RCN1	ENSP00000054950	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RFC2	ENSP00000055077	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
PPP1R3F	ENSP00000055335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIAA2022	ENSP00000055682	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
NFE2L3	ENSP00000056233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HEBP2	ENSP00000058691	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
TLL1	ENSP00000061240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NNAT	ENSP00000062104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBLN4	ENSP00000064571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN11	ENSP00000064724	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
RELT	ENSP00000064780	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
PKP2	ENSP00000070846	0.0	0.0	4.0	0.0	0.0	5.0	3.0	0.0
IL1RAP	ENSP00000072516	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
YIPF1	ENSP00000072644	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADCK2	ENSP00000072869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INPP4A	ENSP00000074304	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A3	ENSP00000075120	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
STYK1	ENSP00000075503	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
GNA11	ENSP00000078429	5.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0
CREB3L3	ENSP00000078445	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
PIGV	ENSP00000078527	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HDAC7	ENSP00000080059	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
MRPS35	ENSP00000081029	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
APPBP2	ENSP00000083182	5.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0
RPL18	ENSP00000084795	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
CA11	ENSP00000084798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ISOC2	ENSP00000085068	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
CD22	ENSP00000085219	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
GSC2	ENSP00000086933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFY	ENSP00000155093	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
KCNQ1	ENSP00000155840	5.0	0.0	5.0	4.0	4.0	0.0	0.0	0.0
TRPM5	ENSP00000155858	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
TRIB2	ENSP00000155926	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTUD5	ENSP00000156084	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPKOW	ENSP00000156109	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
AQR	ENSP00000156471	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
KLK13	ENSP00000156476	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLK14	ENSP00000156499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST6GALNAC1	ENSP00000156626	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
MBD3	ENSP00000156825	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
LMCD1	ENSP00000157600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PSMC4	ENSP00000157812	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
FNDC8	ENSP00000158009	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
CAMKK1	ENSP00000158166	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAP1	ENSP00000158762	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
DERL2	ENSP00000158771	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NOX3	ENSP00000159060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANO8	ENSP00000159087	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
KDM4B	ENSP00000159111	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
ICAM3	ENSP00000160262	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
CTTNBP2	ENSP00000160373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTL6B	ENSP00000160382	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
CIC	ENSP00000160740	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
KIF22	ENSP00000160827	4.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0
GTSE1	ENSP00000160874	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
PRSS22	ENSP00000161006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEACAM1	ENSP00000161559	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
YTHDC2	ENSP00000161863	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM161A	ENSP00000162044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCAR1	ENSP00000162330	5.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0
FOXJ2	ENSP00000162391	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
TNFRSF1A	ENSP00000162749	5.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0
GOLGA5	ENSP00000163416	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
CELSR3	ENSP00000164024	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
PPP2R5B	ENSP00000164133	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYGM	ENSP00000164139	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCL3	ENSP00000164227	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
KCNAB2	ENSP00000164247	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
PIGB	ENSP00000164305	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDZD4	ENSP00000164640	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRLH	ENSP00000165524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
REEP1	ENSP00000165698	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
FSTL3	ENSP00000166139	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
EPHA8	ENSP00000166244	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
TRIP13	ENSP00000166345	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
P4HA2	ENSP00000166534	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
VASH1	ENSP00000167106	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDCD2	ENSP00000167218	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
KRT14	ENSP00000167586	5.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0
KRT20	ENSP00000167588	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
SPP2	ENSP00000168148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HSD17B10	ENSP00000168216	4.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0
FGF4	ENSP00000168712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGB1BP3	ENSP00000168977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ST6GAL1	ENSP00000169298	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
C18orf55	ENSP00000169551	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
CACNG5	ENSP00000169565	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0
BPIL1	ENSP00000170150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
REXO1	ENSP00000170168	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
MKRN2	ENSP00000170447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPATCH1	ENSP00000170564	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
IL4R	ENSP00000170630	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
KEAP1	ENSP00000171111	5.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0
RDH8	ENSP00000171214	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
P2RY10	ENSP00000171757	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
TNS1	ENSP00000171887	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
DLX3	ENSP00000172196	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
NGFR	ENSP00000172229	4.0	0.0	4.0	0.0	4.0	4.0	0.0	0.0
NTN1	ENSP00000173229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ISOC1	ENSP00000173527	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
